type,clustering,closeness,n
erdos_renyi,0.4752524518136631,0.6559116001563574,1474.0
erdos_renyi,0.4365461300112768,0.6396392699783201,1480.0
erdos_renyi,0.3091205818451782,0.5914419153864697,1333.0
erdos_renyi,0.6447048494822994,0.7378945805593626,1415.0
erdos_renyi,0.5631759381045214,0.6960413040603495,1281.0
erdos_renyi,0.3369551838343526,0.6013253966598349,1014.0
erdos_renyi,0.0884556577596775,0.523168037450358,1465.0
erdos_renyi,0.363480454078723,0.6111258997149236,1065.0
erdos_renyi,0.2146590224850049,0.5601069157810519,1387.0
erdos_renyi,0.1150868964694893,0.5305726185085905,1383.0
erdos_renyi,0.1659621991762141,0.5452946894514195,1161.0
erdos_renyi,0.990356099776866,0.9904569779224238,1111.0
erdos_renyi,0.6984929775893474,0.7684026695126144,1384.0
erdos_renyi,0.7554245094159785,0.803552496130832,1316.0
erdos_renyi,0.7664506604876768,0.8107376665130384,1294.0
erdos_renyi,0.1811614069052372,0.5497693655180367,1299.0
erdos_renyi,0.8290498879896978,0.8540675183063563,1449.0
erdos_renyi,0.0876570909715976,0.5229274720374772,1199.0
erdos_renyi,0.247367906742587,0.5706460694161842,1036.0
erdos_renyi,0.8668419143441601,0.8825586356467436,1165.0
erdos_renyi,0.442581770690267,0.6421184543153784,1304.0
erdos_renyi,0.2849333544880671,0.5830771831587895,1046.0
erdos_renyi,0.413152026263626,0.6302062109087623,1285.0
erdos_renyi,0.5867331701951174,0.7076757933718939,1132.0
erdos_renyi,0.2915187067421645,0.5853606940233634,1395.0
erdos_renyi,0.972702315625072,0.9734512755339274,1104.0
erdos_renyi,0.4736637619288423,0.6552241414840907,1106.0
erdos_renyi,0.1369265040725258,0.5367680881356285,1345.0
erdos_renyi,0.6043479077951592,0.7165997233522794,1289.0
erdos_renyi,0.4911558826168895,0.6628124062043974,1209.0
erdos_renyi,0.8364669781653957,0.8595279267474325,1039.0
erdos_renyi,0.7706487545155623,0.813525780641678,1161.0
erdos_renyi,0.6123526736336786,0.7207134600221445,1485.0
erdos_renyi,0.8186522200569442,0.8465525999044178,1462.0
erdos_renyi,0.8322693091226071,0.8564242160010261,1252.0
erdos_renyi,0.334824508308932,0.6005495690302186,1120.0
erdos_renyi,0.30502737563358,0.5899887371719058,1338.0
erdos_renyi,0.855368174111128,0.8736991110830356,1391.0
erdos_renyi,0.6579026087493653,0.7451858845165722,1278.0
erdos_renyi,0.0647343521318582,0.5160418603504571,1402.0
erdos_renyi,0.2582454823124535,0.5741078371325754,1300.0
erdos_renyi,0.4894343055705036,0.6620740155689361,1126.0
