network,type,clustering,closeness,n,initialization,consensus_time,opinion_change_frequency,groups
erdos_renyi_76.edgelist,erdos_renyi,0.7915416970262088,0.8275701450012596,1488.0,random,2.97,360.6,0
erdos_renyi_38.edgelist,erdos_renyi,0.8476410771288512,0.8678570708755439,1190.0,random,2.66,285.28,0
erdos_renyi_26.edgelist,erdos_renyi,0.524591384383081,0.677805517505937,1400.0,random,5.43,347.99,0
erdos_renyi_158.edgelist,erdos_renyi,0.3895102054850482,0.6209812856490067,1246.0,random,7.56,298.55,0
erdos_renyi_142.edgelist,erdos_renyi,0.3011705435843547,0.5886832972362823,1014.0,random,9.68,263.65,0
erdos_renyi_47.edgelist,erdos_renyi,0.0811534245018762,0.5210654311625182,1186.0,random,43.22,325.87,0
erdos_renyi_169.edgelist,erdos_renyi,0.2683223876985964,0.5775267975290381,1334.0,random,11.73,335.92,0
erdos_renyi_156.edgelist,erdos_renyi,0.7202602140000577,0.7814933901739723,1263.0,random,3.31,320.99,0
erdos_renyi_48.edgelist,erdos_renyi,0.0353623055073197,0.4488996107103469,1038.0,random,99.97,264.75,0
erdos_renyi_85.edgelist,erdos_renyi,0.0404019473116088,0.4867784331578869,1413.0,random,91.39,419.5,0
erdos_renyi_44.edgelist,erdos_renyi,0.2441284889232615,0.5695458402748286,1317.0,random,13.23,338.63,0
erdos_renyi_152.edgelist,erdos_renyi,0.2456644729981772,0.5699976670726751,1160.0,random,12.69,270.45,0
erdos_renyi_34.edgelist,erdos_renyi,0.6380884004087647,0.7343303986999723,1417.0,random,4.12,317.69,0
erdos_renyi_89.edgelist,erdos_renyi,0.5731726763023534,0.7009099649512694,1072.0,random,4.66,252.86,0
erdos_renyi_112.edgelist,erdos_renyi,0.930590509691581,0.935141790886678,1174.0,random,2.27,255.72,0
erdos_renyi_63.edgelist,erdos_renyi,0.2948406894674545,0.586495098911312,1314.0,random,10.79,362.06,0
erdos_renyi_182.edgelist,erdos_renyi,0.9945285278372304,0.9945625710030828,1321.0,random,1.43,318.52,0
erdos_renyi_60.edgelist,erdos_renyi,0.1040609215817724,0.527432520855475,1228.0,random,31.42,287.37,0
erdos_renyi_57.edgelist,erdos_renyi,0.3008550535414436,0.5885410846425018,1443.0,random,10.7,370.79,0
erdos_renyi_8.edgelist,erdos_renyi,0.5414325365583744,0.6856772810402032,1269.0,random,5.08,316.23,0
erdos_renyi_32.edgelist,erdos_renyi,0.5600251482808417,0.6945187122945116,1493.0,random,4.92,351.01,0
erdos_renyi_97.edgelist,erdos_renyi,0.4458599960026921,0.6435027216811233,1412.0,random,6.82,386.24,0
erdos_renyi_6.edgelist,erdos_renyi,0.9539997664967466,0.9560514172253368,1326.0,random,1.93,319.94,0
erdos_renyi_13.edgelist,erdos_renyi,0.8507220664028105,0.8701748969305585,1484.0,random,2.66,331.88,0
erdos_renyi_106.edgelist,erdos_renyi,0.8743839081669758,0.8884680085219745,1163.0,random,2.47,274.23,0
erdos_renyi_121.edgelist,erdos_renyi,0.3653134507834617,0.6117541996784741,1116.0,random,8.33,228.22,0
erdos_renyi_28.edgelist,erdos_renyi,0.526192853742686,0.6785621991083327,1344.0,random,5.23,312.79,0
erdos_renyi_128.edgelist,erdos_renyi,0.5181769308911486,0.6749076678671505,1088.0,random,5.15,257.28,0
erdos_renyi_162.edgelist,erdos_renyi,0.8683423214255908,0.8837134752795901,1430.0,random,2.56,310.41,0
erdos_renyi_99.edgelist,erdos_renyi,0.2200775372261102,0.5618746291115219,1182.0,random,14.41,261.11,0
erdos_renyi_170.edgelist,erdos_renyi,0.954093404965915,0.956144633021453,1081.0,random,1.77,241.33,0
erdos_renyi_98.edgelist,erdos_renyi,0.1546790458154735,0.5419955024587726,1106.0,random,20.94,322.37,0
erdos_renyi_164.edgelist,erdos_renyi,0.0475381256241431,0.4971056726364984,1223.0,random,76.06,313.85,0
erdos_renyi_61.edgelist,erdos_renyi,0.8363110821327443,0.8594181129036683,1104.0,random,2.71,280.4,0
erdos_renyi_74.edgelist,erdos_renyi,0.9173533330247317,0.9237137821875838,1060.0,random,2.24,254.65,0
erdos_renyi_159.edgelist,erdos_renyi,0.0302667886386131,0.4364648062897035,1208.0,random,125.1,323.84,0
erdos_renyi_190.edgelist,erdos_renyi,0.4744078807442183,0.6555157427795667,1423.0,random,6.29,368.04,0
erdos_renyi_80.edgelist,erdos_renyi,0.134607403894201,0.5360174571737528,1080.0,random,24.99,329.16,0
erdos_renyi_81.edgelist,erdos_renyi,0.8294598596962589,0.8543751421581754,1276.0,random,2.6,303.46,0
erdos_renyi_42.edgelist,erdos_renyi,0.5760749242027706,0.7023324929116197,1364.0,random,4.61,340.25,0
erdos_renyi_62.edgelist,erdos_renyi,0.7156346057776231,0.778656461617309,1356.0,random,3.34,318.02,0
erdos_renyi_95.edgelist,erdos_renyi,0.7046888225960907,0.772100546441674,1173.0,random,3.47,302.94,0
erdos_renyi_51.edgelist,erdos_renyi,0.7927129407836021,0.8283644184844777,1216.0,random,2.81,254.46,0
erdos_renyi_90.edgelist,erdos_renyi,0.364217266629984,0.6113499909060401,1416.0,random,8.35,359.63,0
erdos_renyi_191.edgelist,erdos_renyi,0.4865981491147662,0.660840957563775,1124.0,random,5.56,231.46,0
erdos_renyi_199.edgelist,erdos_renyi,0.0277785218719027,0.4170759484777534,1046.0,random,136.11,285.5,0
erdos_renyi_111.edgelist,erdos_renyi,0.9582455457677116,0.959946216212485,1400.0,random,1.94,313.3,0
erdos_renyi_194.edgelist,erdos_renyi,0.7661843090237224,0.8105642935695477,1465.0,random,3.05,390.36,0
erdos_renyi_109.edgelist,erdos_renyi,0.0526144340783442,0.5021367562295596,1125.0,random,66.78,310.18,0
erdos_renyi_1.edgelist,erdos_renyi,0.6724060368994783,0.753333249737472,1114.0,random,3.85,254.72,0
erdos_renyi_181.edgelist,erdos_renyi,0.6424169248563973,0.7366727949596328,1378.0,random,4.08,335.13,0
erdos_renyi_149.edgelist,erdos_renyi,0.4820982603540295,0.6588783454000597,1013.0,random,5.7,209.5,0
erdos_renyi_166.edgelist,erdos_renyi,0.7239063105223768,0.7837159410230942,1353.0,random,3.49,304.8,0
erdos_renyi_55.edgelist,erdos_renyi,0.2992645907374281,0.5880380504863165,1257.0,random,10.44,326.67,0
erdos_renyi_172.edgelist,erdos_renyi,0.7037429613944385,0.7715360086084024,1134.0,random,3.65,247.75,0
erdos_renyi_17.edgelist,erdos_renyi,0.8571601896622453,0.8750807981631133,1241.0,random,2.64,330.3,0
erdos_renyi_192.edgelist,erdos_renyi,0.5622482311425617,0.6956116679935181,1028.0,random,5.05,234.31,0
erdos_renyi_103.edgelist,erdos_renyi,0.1333234651085026,0.5357666805411541,1295.0,random,25.78,379.2,0
erdos_renyi_20.edgelist,erdos_renyi,0.6393456058449646,0.7350180815974402,1318.0,random,4.31,345.64,0
erdos_renyi_10.edgelist,erdos_renyi,0.324561687424068,0.5969015377002573,1377.0,random,9.93,323.96,0
erdos_renyi_27.edgelist,erdos_renyi,0.1050824543792736,0.527735590928465,1239.0,random,33.17,357.32,0
erdos_renyi_41.edgelist,erdos_renyi,0.4783640619793924,0.6572637744987029,1112.0,random,5.81,266.75,0
erdos_renyi_130.edgelist,erdos_renyi,0.495566720428738,0.664780849316293,1335.0,random,5.8,338.42,0
erdos_renyi_65.edgelist,erdos_renyi,0.8181919137413619,0.8462168994905753,1429.0,random,2.8,319.41,0
erdos_renyi_66.edgelist,erdos_renyi,0.0658374750826616,0.5146110133256898,1078.0,random,51.53,297.19,0
erdos_renyi_21.edgelist,erdos_renyi,0.3125774936469051,0.5926622129333495,1363.0,random,10.03,343.81,0
erdos_renyi_122.edgelist,erdos_renyi,0.1147523972037579,0.530471188533908,1155.0,random,29.99,302.77,0
erdos_renyi_150.edgelist,erdos_renyi,0.2697520288902815,0.577948701895518,1182.0,random,11.15,277.39,0
erdos_renyi_101.edgelist,erdos_renyi,0.8835420781998738,0.895755034248596,1186.0,random,2.46,313.05,0
erdos_renyi_120.edgelist,erdos_renyi,0.5620397552700945,0.6954783924364546,1422.0,random,4.74,352.24,0
erdos_renyi_4.edgelist,erdos_renyi,0.9634513223819726,0.9647618031610066,1480.0,random,1.86,368.83,0
erdos_renyi_82.edgelist,erdos_renyi,0.9418221289925788,0.9450679268943636,1043.0,random,1.96,251.93,0
erdos_renyi_133.edgelist,erdos_renyi,0.4855463855395011,0.6603697101279217,1163.0,random,5.53,253.14,0
erdos_renyi_175.edgelist,erdos_renyi,0.8368465261953069,0.8598038338361194,1235.0,random,2.62,306.51,0
erdos_renyi_59.edgelist,erdos_renyi,0.7864384965615251,0.8240878616289044,1369.0,random,3.09,331.11,0
erdos_renyi_77.edgelist,erdos_renyi,0.3337552557539148,0.6002045909328797,1432.0,random,9.11,361.01,0
erdos_renyi_108.edgelist,erdos_renyi,0.471853340869958,0.6544408134069276,1147.0,random,5.94,345.15,0
erdos_renyi_163.edgelist,erdos_renyi,0.8301457271491434,0.8548712355044618,1467.0,random,2.94,356.18,0
erdos_renyi_180.edgelist,erdos_renyi,0.3112497222093622,0.592207438154029,1465.0,random,10.06,405.43,0
erdos_renyi_183.edgelist,erdos_renyi,0.1180913091115346,0.5313371618308748,1071.0,random,27.41,269.64,0
erdos_renyi_3.edgelist,erdos_renyi,0.3594323846432091,0.6096013978484094,1422.0,random,8.58,323.31,0
erdos_renyi_104.edgelist,erdos_renyi,0.2843649508781194,0.5829089221087534,1408.0,random,11.05,369.97,0
erdos_renyi_29.edgelist,erdos_renyi,0.5829979688497193,0.705799155801922,1242.0,random,4.64,322.49,0
erdos_renyi_189.edgelist,erdos_renyi,0.5604595855731691,0.6947265299120364,1285.0,random,4.91,288.52,0
erdos_renyi_49.edgelist,erdos_renyi,0.5997372821086893,0.7142281232601444,1036.0,random,4.45,244.31,0
erdos_renyi_75.edgelist,erdos_renyi,0.7506950970654369,0.8005289562168884,1168.0,random,3.06,254.48,0
erdos_renyi_30.edgelist,erdos_renyi,0.7246312566507752,0.7841525794431101,1359.0,random,3.62,312.32,0
erdos_renyi_178.edgelist,erdos_renyi,0.8256535274750765,0.8516255108391401,1082.0,random,2.64,268.74,0
erdos_renyi_135.edgelist,erdos_renyi,0.249108194596859,0.5711992426123219,1264.0,random,12.72,323.36,0
erdos_renyi_73.edgelist,erdos_renyi,0.9867083259471144,0.9868948220443278,1060.0,random,1.58,287.16,0
erdos_renyi_145.edgelist,erdos_renyi,0.0194832156887795,0.3819684658212468,1146.0,random,210.91,303.0,0
erdos_renyi_123.edgelist,erdos_renyi,0.4212627311318329,0.6335013638507868,1089.0,random,6.77,266.36,0
erdos_renyi_177.edgelist,erdos_renyi,0.339258526415743,0.602228888367301,1151.0,random,8.91,346.09,0
erdos_renyi_198.edgelist,erdos_renyi,0.3038346714573434,0.5896367051358443,1159.0,random,9.89,274.43,0
erdos_renyi_188.edgelist,erdos_renyi,0.859281364945982,0.8767211545577666,1089.0,random,2.51,251.04,0
erdos_renyi_18.edgelist,erdos_renyi,0.976611164059098,0.9771595931931122,1459.0,random,1.6,346.31,0
erdos_renyi_12.edgelist,erdos_renyi,0.5447234638066085,0.6872305603913267,1070.0,random,4.77,245.7,0
erdos_renyi_70.edgelist,erdos_renyi,0.3019831063177896,0.588955862379048,1406.0,random,10.62,331.3,0
erdos_renyi_96.edgelist,erdos_renyi,0.6239095455550926,0.7267684765221324,1405.0,random,4.22,350.99,0
erdos_renyi_37.edgelist,erdos_renyi,0.3327259186466835,0.5998438049540148,1345.0,random,9.3,325.78,0
erdos_renyi_140.edgelist,erdos_renyi,0.7281092379467631,0.7862927337872142,1339.0,random,3.53,330.24,0
erdos_renyi_67.edgelist,erdos_renyi,0.9227952720485104,0.9283734170500364,1234.0,random,2.07,305.76,0
erdos_renyi_124.edgelist,erdos_renyi,0.3851664664474259,0.6193147361466852,1039.0,random,7.54,268.09,0
erdos_renyi_25.edgelist,erdos_renyi,0.1484150864651278,0.5400980338877811,1345.0,random,22.25,320.25,0
erdos_renyi_114.edgelist,erdos_renyi,0.3786513885860695,0.6167850651210547,1487.0,random,7.84,357.86,0
erdos_renyi_197.edgelist,erdos_renyi,0.3151821337610873,0.5935537754535611,1358.0,random,9.97,329.74,0
erdos_renyi_79.edgelist,erdos_renyi,0.2011366039225321,0.5559333010603927,1454.0,random,16.12,296.41,0
erdos_renyi_64.edgelist,erdos_renyi,0.7569814063605232,0.8045747233900216,1379.0,random,3.33,318.8,0
erdos_renyi_154.edgelist,erdos_renyi,0.1268031626052594,0.5338431027893946,1469.0,random,28.25,420.6,0
erdos_renyi_127.edgelist,erdos_renyi,0.0319794649056285,0.454657814154316,1391.0,random,117.75,380.1,0
erdos_renyi_173.edgelist,erdos_renyi,0.7248927171210234,0.7843355745699084,1180.0,random,3.34,264.65,0
erdos_renyi_91.edgelist,erdos_renyi,0.9353293098272822,0.9392947659608452,1335.0,random,2.33,331.73,0
erdos_renyi_157.edgelist,erdos_renyi,0.5192969193279715,0.675442372009692,1129.0,random,5.1,271.43,0
erdos_renyi_144.edgelist,erdos_renyi,0.3971195675476247,0.6239040557500152,1373.0,random,7.49,346.37,0
erdos_renyi_186.edgelist,erdos_renyi,0.8930398702291037,0.9034236198968612,1451.0,random,2.39,369.03,0
erdos_renyi_39.edgelist,erdos_renyi,0.6052681933609759,0.7170401199318391,1491.0,random,4.37,386.82,0
erdos_renyi_33.edgelist,erdos_renyi,0.6897725641328425,0.7632796138718687,1449.0,random,3.8,331.07,0
erdos_renyi_71.edgelist,erdos_renyi,0.7772149352642379,0.817874426725424,1198.0,random,3.09,283.03,0
erdos_renyi_2.edgelist,erdos_renyi,0.6532513649573982,0.7426340209478929,1073.0,random,3.75,278.47,0
erdos_renyi_176.edgelist,erdos_renyi,0.4259675450281068,0.6353535002152987,1412.0,random,6.98,349.56,0
erdos_renyi_146.edgelist,erdos_renyi,0.0330521776054563,0.4628697562182078,1476.0,random,111.67,405.53,0
erdos_renyi_11.edgelist,erdos_renyi,0.8919870820216546,0.9025644952348102,1299.0,random,2.66,314.14,0
erdos_renyi_161.edgelist,erdos_renyi,0.9540001090713204,0.9560588513261014,1075.0,random,1.95,249.25,0
erdos_renyi_171.edgelist,erdos_renyi,0.349781014220019,0.6059975933985475,1420.0,random,8.89,357.89,0
erdos_renyi_88.edgelist,erdos_renyi,0.2595016363454787,0.5746693796443386,1029.0,random,12.02,289.43,0
erdos_renyi_116.edgelist,erdos_renyi,0.1673661466621519,0.545700338766327,1196.0,random,19.59,294.71,0
erdos_renyi_86.edgelist,erdos_renyi,0.8096817089999828,0.840171928428206,1268.0,random,2.79,305.61,0
erdos_renyi_45.edgelist,erdos_renyi,0.7880570841849395,0.8252070196689277,1159.0,random,2.92,294.03,0
erdos_renyi_5.edgelist,erdos_renyi,0.4729637219815794,0.6549379674348351,1301.0,random,6.24,341.2,0
erdos_renyi_148.edgelist,erdos_renyi,0.189463578616208,0.55230916829876,1077.0,random,17.06,296.4,0
erdos_renyi_15.edgelist,erdos_renyi,0.8259493712533776,0.8518348407887258,1288.0,random,2.65,294.63,0
erdos_renyi_43.edgelist,erdos_renyi,0.1329519454137932,0.5356175524997636,1053.0,random,24.66,275.89,0
erdos_renyi_105.edgelist,erdos_renyi,0.4032761131630013,0.6262937148513468,1149.0,random,7.33,264.11,0
erdos_renyi_143.edgelist,erdos_renyi,0.8030597491374596,0.8355350335054601,1483.0,random,3.02,367.81,0
erdos_renyi_56.edgelist,erdos_renyi,0.6832121355535926,0.7595184230569964,1146.0,random,3.73,276.15,0
erdos_renyi_46.edgelist,erdos_renyi,0.5065428546148508,0.6696617443513957,1184.0,random,5.35,272.86,0
erdos_renyi_58.edgelist,erdos_renyi,0.7489525363412339,0.799403971425444,1311.0,random,3.24,355.79,0
erdos_renyi_184.edgelist,erdos_renyi,0.2997169919941955,0.58816006743295,1167.0,random,10.02,316.67,0
erdos_renyi_50.edgelist,erdos_renyi,0.9254097177713094,0.9306267077569664,1397.0,random,2.23,299.4,0
erdos_renyi_69.edgelist,erdos_renyi,0.94626733132185,0.949051512339165,1071.0,random,2.08,246.75,0
erdos_renyi_7.edgelist,erdos_renyi,0.0836084886729193,0.5216464450903636,1330.0,random,42.25,344.0,0
erdos_renyi_160.edgelist,erdos_renyi,0.94040871840051,0.9438008172797042,1209.0,random,1.94,284.21,0
erdos_renyi_35.edgelist,erdos_renyi,0.6375852991203628,0.7340698489205069,1398.0,random,4.17,320.71,0
