,clustering,closeness,betweenness,average_shortest_path_lenght,eigenvector,assortativity,information_centrality,approximate_current_flow_betweenness_centrality
barabasi_nonlinear_05_27.edgelist,0.026866647976824597,0.31384361677952927,1101.507,3.202014,0.09908742745677962,0.191095446202053,0.003638217716169963,0.0052716434705087824
barabasi_nonlinear_05_16.edgelist,0.027505488728779493,0.3141107403020501,1099.987,3.198974,0.10124650726964429,0.1689973833280527,0.003636088241282424,0.00516265984340489
barabasi_nonlinear_05_1.edgelist,0.027491834491726135,0.31397285843011513,1100.884,3.200768,0.08328978854511931,0.1866177387726881,0.003635653889937622,0.005230114678264229
barabasi_nonlinear_05_51.edgelist,0.027341396728300663,0.3145653788426715,1097.693,3.194386,0.1046606030595769,0.17544305526550677,0.00363502128185729,0.0052019538024178115
barabasi_nonlinear_05_81.edgelist,0.027591740995648283,0.3140358352075215,1100.52,3.20004,0.07714896843428995,0.18743982033295656,0.0036387909311985877,0.005213804760329072
barabasi_nonlinear_05_9.edgelist,0.02709053213545266,0.31455450405345214,1097.893,3.194786,0.0954707051651591,0.17002477701727722,0.0036426604142877207,0.005158255954654816
barabasi_nonlinear_05_18.edgelist,0.026811571637654533,0.31350524654981,1103.098,3.205196,0.10285249098662601,0.17098591714904463,0.003637610454339022,0.00528667809370661
barabasi_nonlinear_05_56.edgelist,0.027383319503373988,0.31328348925347493,1104.321,3.207642,0.08891750224676587,0.200796097646166,0.0036481916484834525,0.005231886422456008
barabasi_nonlinear_05_26.edgelist,0.02765563163515296,0.3131193073682343,1105.152,3.209304,0.08934350602907694,0.1963084131429503,0.0036522962194118396,0.005384860511943527
barabasi_nonlinear_05_49.edgelist,0.029331514324693043,0.3147849038613332,1096.793,3.192586,0.09990129709214753,0.16496050226308742,0.003627820436578176,0.005007456391926961
barabasi_nonlinear_05_89.edgelist,0.028118173790453765,0.3139238006428226,1100.941,3.200882,0.08701424892114638,0.1685200484654568,0.0036547973009535407,0.005224375787775216
barabasi_nonlinear_05_47.edgelist,0.026406359455425944,0.31524279016151285,1094.373,3.187746,0.1036292992465993,0.16299364619474863,0.003622857184403183,0.005103178711491958
barabasi_nonlinear_05_50.edgelist,0.027504730259818172,0.31483817062999914,1096.231,3.191462,0.09442333608217217,0.1586943487478348,0.0036314841478572307,0.005104189048056365
barabasi_nonlinear_05_61.edgelist,0.02869815169685356,0.31383258879954223,1101.531,3.202062,0.0753120773499264,0.1776133169814931,0.003637582132520211,0.005205004003377567
barabasi_nonlinear_05_3.edgelist,0.027664504170528268,0.3143020091572844,1099.095,3.19719,0.11697586818659976,0.16825702393325245,0.003635491407173747,0.005268072780807743
barabasi_nonlinear_05_28.edgelist,0.0285865290450949,0.3138560880226614,1101.266,3.201532,0.09101549612187211,0.1766025609447807,0.003632038296779817,0.005130666781091609
