,clustering,closeness,betweenness,average_shortest_path_lenght,eigenvector,assortativity,information_centrality,approximate_current_flow_betweenness_centrality,shannon_entropy,degree_variance
barabasi_linear_68.edgelist,0.0307685691862777,0.3346137653180852,1002.514,3.004028,0.0845716789346074,-0.0300822941366536,0.0034165824120101,0.004932570187844,3.624538560697722,32.33032632065442
barabasi_linear_47.edgelist,0.0339944250424529,0.3351810451882252,999.934,2.998868,0.0778580444278484,-0.0318141055001807,0.0034165454855807,0.0049345370169293,3.633271707224615,32.041639575194445
barabasi_linear_90.edgelist,0.0327704083323208,0.3328599793371316,1010.5589999999996,3.020118,0.0750538102916838,-0.0143205981198333,0.0034370760069662,0.0050263284709607,3.647964635771864,32.041639575194445
barabasi_linear_39.edgelist,0.0320536390180599,0.334879673352761,1001.4939999999998,3.001988,0.0767836863169414,-0.0222555119209169,0.0034473703362579,0.0049966683739687,3.6544631498427615,32.041639575194445
barabasi_linear_81.edgelist,0.0312395839319579,0.3312847094546091,1017.586,3.034172,0.0857056931011511,-0.0041096008153732,0.0034563943074526,0.0050279167057565,3.67535314578603,26.2678510731274
barabasi_linear_18.edgelist,0.031705178284686,0.331964548828382,1014.329,3.027658,0.0876162189458538,-0.0131853459073219,0.0034492448757832,0.0049375928912043,3.664200109808387,26.2678510731274
barabasi_linear_26.edgelist,0.0323080764988658,0.3368770972775948,992.3109999999998,2.983622,0.0783439107446918,-0.0372827172014393,0.0034162189953424,0.0049063197704857,3.627331585891288,32.90769920044041
barabasi_linear_10.edgelist,0.0306878877798759,0.3348321349849586,1001.572,3.002144,0.0792667905721757,-0.028490792815012,0.003422690274561,0.0049850727170225,3.6350386889220094,32.33032632065442
barabasi_linear_79.edgelist,0.031320589326051,0.3325133797840656,1011.8289999999996,3.022658,0.0811278666958085,-0.0124841288133546,0.0034439034485231,0.0050872883161202,3.663909688627161,27.71130936398832
barabasi_linear_40.edgelist,0.0315626134900458,0.3334794701512215,1007.9059999999996,3.014812,0.0775114578544812,-0.0078732631539497,0.0034409973073785,0.0049992569861166,3.651623515776284,31.464265445104548
barabasi_linear_27.edgelist,0.030790131631523,0.3323285946742277,1012.593,3.024186,0.0838474621876291,-0.0084757074551299,0.0034362529195921,0.0050344659331274,3.6592497996624114,26.556543449779003
barabasi_linear_76.edgelist,0.0304528534563474,0.3319079910888182,1014.436,3.027872,0.0807619707552073,-0.0174100115931534,0.0034320270389241,0.0050893107667734,3.6553338825607695,27.71130936398832
barabasi_linear_57.edgelist,0.0329125870001179,0.334704184583645,1002.297,3.003594,0.0717476347519847,-0.0262972607774334,0.0034352434673389,0.0050946451045245,3.643535857364751,34.92849839314596
barabasi_linear_20.edgelist,0.0305264109985528,0.3325015330442287,1011.629,3.022258,0.0951694658824412,-0.0159258665760108,0.003420883357854,0.0050079790541919,3.6473096530344105,24.82438317461282
barabasi_linear_64.edgelist,0.0332696364861431,0.3327280317289061,1011.371,3.021742,0.0848351656881736,-0.0101842438574491,0.003431922479712,0.0050380490234406,3.6547769596258384,29.73213749463701
barabasi_linear_36.edgelist,0.0329114189316624,0.3359488563821406,996.5649999999996,2.99213,0.0802043688676952,-0.0376214654441648,0.0034053111741224,0.0050200734386858,3.602528141003288,33.77375707064091
barabasi_linear_71.edgelist,0.0299122921848409,0.3346585411659227,1001.828,3.002656,0.0735670193594068,-0.0335182331590024,0.0034070498925567,0.0049998911493307,3.6197599310814543,33.77375707064091
barabasi_linear_97.edgelist,0.0312189616252821,0.3326139038257101,1011.329,3.021658,0.0861296290653613,-0.0145172359676891,0.003436812564804,0.0050258769646238,3.650072769768844,30.886890422961
barabasi_linear_22.edgelist,0.0297522813337528,0.3352362988340857,999.4059999999998,2.997812,0.0897413417768065,-0.0301874372450088,0.0034208813407299,0.0049866719335435,3.619782870272354,26.84523545560118
barabasi_linear_25.edgelist,0.0342755309143111,0.3386017006513953,985.405,2.96981,0.0641985268480847,-0.0429699008143541,0.003429361693751,0.0048594202155801,3.61949587195248,43.300307928081374
barabasi_linear_4.edgelist,0.0310348130567588,0.3352493784960352,999.6269999999998,2.998254,0.0725910162034679,-0.0376341157431794,0.003424494828149,0.004939904528266,3.638101623801841,33.77375707064091
barabasi_linear_66.edgelist,0.032434957676607,0.3329295042048249,1010.1489999999995,3.019298,0.0783201927650613,-0.0203595018027427,0.0034292064838584,0.0049723621778325,3.644279418829029,32.90769920044041
barabasi_linear_31.edgelist,0.0324550960194627,0.3370246669997003,991.7160000000002,2.982432,0.0751903093492142,-0.0355963448917901,0.0034006546901701,0.0050241115967547,3.6136437892604176,34.351128074635334
