,clustering,closeness,betweenness,average_shortest_path_lenght,eigenvector,assortativity,information_centrality,approximate_current_flow_betweenness_centrality,shannon_entropy,degree_variance
barabasi_nonlinear_15_5.edgelist,0.0247796856545834,0.4403691857959577,640.8090000000002,2.280618,0.078613671639061,-0.3821270281272169,0.0029455576352374,0.0036495125836331,2.582144168112154,119.22248110151038
barabasi_nonlinear_15_52.edgelist,0.0248237904458748,0.457931172273173,596.6749999999997,2.19235,0.0610185277796972,-0.3684097332426537,0.0029151631220496,0.0035241170680343,2.5016471732798577,171.76146249959564
barabasi_nonlinear_15_94.edgelist,0.0266381271758696,0.4254335116402238,681.7089999999996,2.362418,0.0573362859770325,-0.3153353855070172,0.0029748368501426,0.0037409557277626,2.669795296222219,148.37873836908037
barabasi_nonlinear_15_58.edgelist,0.0249838007037971,0.4367917230586078,651.5069999999996,2.302014,0.0569524304902908,-0.3107465509164485,0.0029790447189811,0.0037368795523147,2.6953884716105065,158.48238598237555
barabasi_nonlinear_15_70.edgelist,0.0231262585068692,0.4566390091031133,600.5899999999998,2.20018,0.0605246679230086,-0.3274972316247875,0.0029563619793347,0.0036568497144607,2.608114233821284,172.91616465790582
barabasi_nonlinear_15_0.edgelist,0.025419492770852,0.4433597892745317,634.0960000000002,2.267192,0.0559401771505174,-0.3134253705895051,0.002982749964547,0.003675361191188,2.706842345403483,169.74073366951924
barabasi_nonlinear_15_1.edgelist,0.0230011143613316,0.4655093694872088,578.9409999999995,2.156882,0.056363962619326,-0.3440046573880837,0.0029242497477595,0.0033404237345609,2.519724124852462,193.700800204852
barabasi_nonlinear_15_56.edgelist,0.0253981730295591,0.4373219125588622,650.2050000000003,2.29941,0.0534400711653269,-0.3034122695499797,0.002971746714468,0.0036462420376081,2.674630510129353,170.89543586649702
barabasi_nonlinear_15_87.edgelist,0.0245477383307104,0.4449876820718016,629.3829999999996,2.257766,0.0650263198297296,-0.3564869607365205,0.0029612268568746,0.0036149210302585,2.641285765228892,148.37873836908037
barabasi_nonlinear_15_2.edgelist,0.0233781342990758,0.4586508267873969,596.0619999999998,2.191124,0.0635923547351648,-0.3447808482143312,0.0029567029019783,0.0034526202865183,2.6223306302666285,166.5653025092561
barabasi_nonlinear_15_32.edgelist,0.0261624297409832,0.4339728842613256,658.658,2.316316,0.0593503129976771,-0.3080137325877973,0.0029736971673911,0.0036739102999351,2.665978368501062,148.95608972669316
barabasi_nonlinear_15_92.edgelist,0.0222055792747926,0.4705670606515236,567.1490000000002,2.133298,0.0558212555167977,-0.331391924677584,0.0029524039107519,0.0033572764663512,2.6107561692434964,204.38179142640536
barabasi_nonlinear_15_77.edgelist,0.0217310024973242,0.4666423244340347,576.4169999999997,2.151834,0.0576475951484273,-0.3474063151559308,0.0029397667314737,0.0032298284138771,2.574796242811312,195.1441774688653
barabasi_nonlinear_15_51.edgelist,0.0244440914086184,0.4547876978040231,604.8819999999996,2.208764,0.0617532622871485,-0.3344817602222243,0.0029577214295995,0.0036130387166661,2.6361236060673683,164.25589791541734
barabasi_nonlinear_15_47.edgelist,0.0258627832597123,0.442123078985488,636.9740000000003,2.272948,0.071463876210434,-0.360611620433108,0.0029450041050426,0.0034834484203281,2.584693219922003,130.48084150556355
barabasi_nonlinear_15_93.edgelist,0.0243995820526705,0.459759669450298,592.8979999999997,2.184796,0.0596324832693495,-0.3371180727688799,0.0029530539672226,0.0034669618104153,2.624768557193922,175.51424443617103
barabasi_nonlinear_15_36.edgelist,0.0251773110103317,0.4314684473283023,664.4750000000003,2.32795,0.072069663207072,-0.3433478795662231,0.0029807630300541,0.0038857741728882,2.679441526961729,118.06777714516352
barabasi_nonlinear_15_65.edgelist,0.0263212736115241,0.4233874777130733,687.715,2.37443,0.0604444347032129,-0.3015614224443799,0.0029823121865063,0.0038078813590064,2.7045931216509254,135.3883303686104
barabasi_nonlinear_15_81.edgelist,0.0247366556964745,0.4368030662224744,650.442,2.299884,0.0704506235682168,-0.3594255151166932,0.0029549297486527,0.0037123909531611,2.613298803204915,127.88275880665071
barabasi_nonlinear_15_54.edgelist,0.0236834653751541,0.4635556857354708,583.9159999999997,2.166832,0.055911273653036,-0.3296908160295875,0.0029530923381623,0.0034685603063397,2.613664983157101,194.85550201794837
barabasi_nonlinear_15_21.edgelist,0.025514149689456,0.4368652919658786,650.8809999999999,2.300762,0.0536263906278509,-0.3137004789263007,0.0029650198211077,0.0036010093968427,2.646186948001185,167.43132920693188
barabasi_nonlinear_15_95.edgelist,0.0249754013903794,0.4487044667410042,620.8770000000005,2.240754,0.0527654824038823,-0.2968672045856063,0.002974144753849,0.0035842317197644,2.682320249597106,187.06126447414672
barabasi_nonlinear_15_83.edgelist,0.0245216978737041,0.4337060599721478,659.777,2.318554,0.0603709419264476,-0.2997689223260447,0.0029990437145112,0.0037761394494385,2.7431935400750618,146.35800854981142
barabasi_nonlinear_15_96.edgelist,0.0239900388677637,0.4594993862640364,593.3359999999999,2.185672,0.0565532127235737,-0.3382895736517763,0.0029409728033745,0.003240728811859,2.584847532064777,187.92729090439917
barabasi_nonlinear_15_62.edgelist,0.0246662413174589,0.4512826409270007,613.6130000000003,2.226226,0.0567293440397854,-0.3285556778003516,0.0029719573669556,0.0035635747251004,2.6706829639278844,178.68967513541455
barabasi_nonlinear_15_50.edgelist,0.0244368112556171,0.4496381117297762,617.653,2.234306,0.0636762574422954,-0.3307492407706198,0.0029708427844648,0.0036141293570854,2.6745314297295244,153.286224647444
