,random,random,direct,direct,inverse,inverse
,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency
barabasi_linear_82.edgelist,460.53,246.58,536.24,199.99,318.8,403.44
barabasi_linear_89.edgelist,445.72,246.4,532.69,200.0,337.71,382.0
barabasi_linear_30.edgelist,449.89,239.72,548.95,200.0,349.42,398.84
barabasi_linear_75.edgelist,427.17,244.72,482.81,200.0,315.88,372.54
barabasi_linear_40.edgelist,423.6,242.23,480.21,199.98,353.75,408.56
barabasi_linear_43.edgelist,427.83,246.81,510.56,199.99,322.86,390.8
barabasi_linear_29.edgelist,447.02,243.74,478.52,200.0,330.66,389.7
barabasi_linear_26.edgelist,435.04,243.64,455.51,200.0,332.13,402.6
barabasi_linear_93.edgelist,451.17,248.53,515.92,200.0,305.63,366.88
barabasi_linear_24.edgelist,438.27,240.04,501.76,200.0,282.65,327.22
barabasi_linear_90.edgelist,443.51,249.09,494.1,200.0,310.94,336.3
barabasi_linear_54.edgelist,441.21,241.12,481.87,200.0,315.85,372.25
barabasi_linear_34.edgelist,447.23,256.77,448.27,200.0,312.86,370.78
barabasi_linear_14.edgelist,433.91,245.2,510.81,200.0,318.54,374.31
barabasi_linear_38.edgelist,464.11,254.63,553.02,199.99,313.67,341.82
barabasi_linear_25.edgelist,450.95,255.79,459.8,200.0,295.93,343.85
barabasi_linear_57.edgelist,462.36,253.25,550.73,199.99,353.51,426.78
barabasi_linear_2.edgelist,454.03,243.92,511.53,199.98,332.45,395.02
barabasi_linear_94.edgelist,437.69,229.04,501.73,200.0,320.32,422.6
barabasi_linear_72.edgelist,439.25,241.98,507.68,200.0,318.85,358.5
