network,consensus_time,opinion_change_frequency
erdos_renyi_108_p0.5346.edgelist,6.65,2517.16
erdos_renyi_109_p0.5426.edgelist,4.92,232.23
erdos_renyi_110_p0.9805.edgelist,1.71,237.18
erdos_renyi_111_p0.0523.edgelist,86.54,30.51
erdos_renyi_112_p0.4744.edgelist,5.92,296.16
erdos_renyi_113_p0.6964.edgelist,4.49,2359.89
erdos_renyi_114_p0.6440.edgelist,4.95,2474.77
erdos_renyi_115_p0.1282.edgelist,19.03,25.24
erdos_renyi_116_p0.7115.edgelist,2.47,24.32
erdos_renyi_117_p0.1510.edgelist,16.21,28.64
erdos_renyi_118_p0.7307.edgelist,3.28,222.16
erdos_renyi_119_p0.4238.edgelist,4.89,24.94
erdos_renyi_120_p0.0918.edgelist,31.1,26.65
erdos_renyi_121_p0.6242.edgelist,4.19,236.58
erdos_renyi_122_p0.1375.edgelist,23.94,268.14
erdos_renyi_123_p0.5493.edgelist,3.41,22.05
erdos_renyi_124_p0.4863.edgelist,4.03,24.99
erdos_renyi_125_p0.5346.edgelist,6.66,2425.77
erdos_renyi_126_p0.2276.edgelist,13.79,270.73
erdos_renyi_127_p0.2793.edgelist,11.12,273.82
erdos_renyi_128_p0.9316.edgelist,1.57,23.36
erdos_renyi_129_p0.3734.edgelist,5.84,23.66
erdos_renyi_130_p0.1192.edgelist,35.59,2961.09
erdos_renyi_131_p0.5574.edgelist,3.34,23.31
erdos_renyi_132_p0.8058.edgelist,2.74,239.59
erdos_renyi_133_p0.9530.edgelist,2.48,2423.3
erdos_renyi_134_p0.8420.edgelist,2.07,23.67
erdos_renyi_135_p0.2785.edgelist,10.97,270.1
erdos_renyi_136_p0.8342.edgelist,2.78,240.3
erdos_renyi_137_p0.4557.edgelist,4.46,24.55
erdos_renyi_138_p0.2732.edgelist,14.68,2864.99
erdos_renyi_139_p0.7342.edgelist,3.28,227.92
erdos_renyi_140_p0.8497.edgelist,2.61,230.93
erdos_renyi_141_p0.2827.edgelist,13.92,2606.59
erdos_renyi_142_p0.8397.edgelist,1.87,23.8
erdos_renyi_143_p0.8908.edgelist,2.58,233.43
erdos_renyi_144_p0.9503.edgelist,2.52,2541.45
erdos_renyi_145_p0.0227.edgelist,76065.76,40.06
erdos_renyi_146_p0.0283.edgelist,132.57,244.9
erdos_renyi_147_p0.0325.edgelist,259.02,47.57
erdos_renyi_148_p0.4810.edgelist,3.94,22.51
erdos_renyi_149_p0.4533.edgelist,4.26,21.05
erdos_renyi_150_p0.9936.edgelist,1.41,230.71
erdos_renyi_151_p0.3161.edgelist,7.26,30.23
erdos_renyi_152_p0.1743.edgelist,24.42,2722.44
erdos_renyi_153_p0.9322.edgelist,2.43,2413.59
erdos_renyi_154_p0.8097.edgelist,2.23,23.76
erdos_renyi_155_p0.8146.edgelist,3.4,2238.52
erdos_renyi_156_p0.2976.edgelist,7.28,28.8
erdos_renyi_157_p0.1175.edgelist,21.16,28.74
erdos_renyi_158_p0.5782.edgelist,5.86,2479.53
erdos_renyi_159_p0.5587.edgelist,3.29,23.83
erdos_renyi_160_p0.7647.edgelist,3.91,2175.78
