,random,random,direct,direct,inverse,inverse
,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency
barabasi_nonlinear_05_44.edgelist,507.03,255.13,605.14,210.9,379.46,367.68
barabasi_nonlinear_05_37.edgelist,523.94,257.86,628.08,200.0,392.13,410.66
barabasi_nonlinear_05_2.edgelist,529.62,265.44,610.11,206.32,378.0,411.96
barabasi_nonlinear_05_40.edgelist,515.25,251.79,619.04,204.4,398.72,381.6
barabasi_nonlinear_05_32.edgelist,515.9,266.51,614.57,200.0,382.31,377.66
barabasi_nonlinear_05_85.edgelist,529.11,270.96,601.72,200.0,398.07,413.42
barabasi_nonlinear_05_31.edgelist,522.22,261.15,606.0,206.12,373.53,361.84
barabasi_nonlinear_05_64.edgelist,515.14,266.94,611.99,200.0,388.34,387.88
barabasi_nonlinear_05_24.edgelist,513.07,243.8,632.94,200.0,392.58,380.48
barabasi_nonlinear_05_21.edgelist,505.43,272.38,599.16,200.0,387.5,391.62
barabasi_nonlinear_05_46.edgelist,495.73,247.32,597.98,200.0,398.27,393.4
barabasi_nonlinear_05_62.edgelist,492.77,256.57,596.8,200.0,386.78,392.74
barabasi_nonlinear_05_86.edgelist,513.01,262.1,633.56,207.38,395.17,390.26
barabasi_nonlinear_05_90.edgelist,518.26,261.69,590.23,200.0,394.24,402.5
barabasi_nonlinear_05_74.edgelist,489.63,266.25,607.54,200.0,418.96,413.08
barabasi_nonlinear_05_91.edgelist,513.57,249.56,625.2,200.0,397.86,421.44
barabasi_nonlinear_05_94.edgelist,500.52,253.87,562.31,200.0,412.9,422.68
barabasi_nonlinear_05_43.edgelist,513.14,262.1,613.68,203.42,402.06,388.58
barabasi_nonlinear_05_82.edgelist,520.64,254.37,612.01,200.0,395.41,394.42
barabasi_nonlinear_05_7.edgelist,511.82,247.59,620.68,201.02,407.92,417.06
barabasi_nonlinear_05_68.edgelist,490.82,261.17,646.53,200.0,391.11,396.84
barabasi_nonlinear_05_36.edgelist,517.94,262.91,624.08,200.0,407.3,417.4
barabasi_nonlinear_05_42.edgelist,534.55,264.31,626.82,200.0,394.22,422.32
barabasi_nonlinear_05_87.edgelist,528.54,271.4,612.28,200.54,393.45,394.1
barabasi_nonlinear_05_70.edgelist,521.7,257.7,606.59,200.0,384.63,361.92
barabasi_nonlinear_05_5.edgelist,506.26,271.3,606.17,206.36,400.14,402.28
barabasi_nonlinear_05_10.edgelist,513.14,261.69,621.96,200.88,405.01,405.04
barabasi_nonlinear_05_57.edgelist,517.88,259.86,622.77,200.0,420.58,427.66
barabasi_nonlinear_05_33.edgelist,530.02,259.31,623.03,200.0,397.55,406.62
