,random,random,direct,direct,inverse,inverse
,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency
waxman_12.edgelist,691.88,276.66,932.71,252.62,411.29,353.16
waxman_41.edgelist,732.53,266.72,967.72,267.47,393.61,358.35
waxman_9.edgelist,779.69,275.48,954.56,252.55,420.88,343.57
waxman_5.edgelist,770.58,274.88,983.12,259.44,464.46,361.22
waxman_49.edgelist,773.58,271.47,987.63,248.83,452.44,352.44
waxman_2.edgelist,677.16,268.74,916.19,245.92,436.71,367.69
waxman_10.edgelist,778.39,267.98,989.7,253.74,452.11,386.13
waxman_27.edgelist,705.03,271.66,970.08,250.68,414.39,359.98
waxman_71.edgelist,768.11,266.01,974.68,247.09,444.16,388.83
waxman_59.edgelist,583.25,266.87,862.45,252.91,376.69,357.84
waxman_7.edgelist,789.1,266.26,974.18,260.93,451.89,377.81
