,random,random,direct,direct,inverse,inverse
,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency
watts-strogatz_10.edgelist,15914.62,2070.21,43555.83,7885.33,47128.31,8109.49
watts-strogatz_75.edgelist,16875.6,2425.08,50513.77,7009.13,45741.69,8003.8
watts-strogatz_5.edgelist,12815.07,2151.45,37151.1,6844.78,31599.4,5989.59
watts-strogatz_70.edgelist,13483.04,1971.65,35822.69,6056.82,35717.97,6940.07
watts-strogatz_7.edgelist,15770.22,2082.57,54728.81,8390.44,57620.71,10212.31
watts-strogatz_83.edgelist,14185.44,2338.12,34038.99,6475.12,49395.37,7581.1
watts-strogatz_44.edgelist,13010.93,1909.88,31667.0,5619.1,38950.65,6309.64
watts-strogatz_14.edgelist,9398.07,1414.65,32977.97,5550.56,30676.56,6025.67
watts-strogatz_1.edgelist,16958.74,2528.0,50953.04,9126.23,50451.54,8011.75
watts-strogatz_23.edgelist,19439.77,2716.92,50533.5,7960.25,45263.65,7401.03
watts-strogatz_40.edgelist,11715.91,1756.73,36124.99,6591.67,41078.16,6444.05
watts-strogatz_47.edgelist,10702.96,1385.55,47956.72,7625.4,43604.41,7996.8
watts-strogatz_12.edgelist,13925.4,2201.69,36669.03,7237.99,48378.63,7999.02
watts-strogatz_56.edgelist,14210.69,2153.02,61594.42,9926.66,46662.12,7420.21
watts-strogatz_42.edgelist,12095.99,1916.79,29211.93,5653.63,30986.08,6247.09
watts-strogatz_74.edgelist,15483.79,2187.36,45452.51,6807.25,50061.41,7934.59
watts-strogatz_48.edgelist,11807.91,1986.43,38048.09,6665.19,34010.41,5816.67
watts-strogatz_78.edgelist,11186.79,1558.2,35879.01,6324.95,39349.23,6970.53
watts-strogatz_90.edgelist,14143.49,2318.68,44805.78,7556.56,34664.61,5919.89
watts-strogatz_98.edgelist,14842.82,2229.63,37966.75,6794.79,39263.56,7535.02
watts-strogatz_84.edgelist,18197.52,2546.56,44564.41,7404.61,53893.09,8427.68
watts-strogatz_17.edgelist,11693.14,1627.6,46790.24,8338.72,38506.8,6538.59
watts-strogatz_50.edgelist,14342.48,1793.66,51938.43,9170.59,47182.96,7981.97
watts-strogatz_52.edgelist,19858.45,2936.74,38259.64,7606.75,45750.98,8457.43
watts-strogatz_54.edgelist,15454.64,2453.38,35890.55,6214.02,43706.3,8164.85
watts-strogatz_45.edgelist,16652.68,2562.56,43562.52,8581.31,52518.11,7880.73
watts-strogatz_71.edgelist,15113.62,2243.95,39643.94,6450.5,42641.09,7713.29
watts-strogatz_53.edgelist,11810.85,1699.59,41887.45,7923.97,43811.91,7132.26
watts-strogatz_67.edgelist,10827.07,1694.2,33754.61,6082.16,37484.21,7052.34
watts-strogatz_76.edgelist,13278.26,2119.76,41172.93,7879.43,37483.28,6954.85
watts-strogatz_69.edgelist,13790.04,1911.82,43281.68,7024.76,42528.77,7004.53
